   0.000   1.000   0.000   1.000
   0.050   1.050   0.050   1.051
   0.100   1.103   0.100   1.105
   0.150   1.158   0.150   1.162
   0.200   1.216   0.200   1.221
   0.250   1.276   0.250   1.284
   0.300   1.340   0.300   1.350
   0.350   1.407   0.350   1.419
   0.400   1.477   0.400   1.492
   0.450   1.551   0.450   1.568
   0.500   1.629   0.500   1.648
   0.550   1.710   0.550   1.733
   0.600   1.796   0.600   1.822
   0.650   1.886   0.650   1.915
   0.700   1.980   0.700   2.013
   0.750   2.079   0.750   2.116
   0.800   2.183   0.800   2.225
   0.850   2.292   0.850   2.339
   0.900   2.407   0.900   2.459
   0.950   2.527   0.950   2.585
   1.000   2.653   1.000   2.717
   1.050   2.786   1.050   2.856
   1.100   2.925   1.100   3.003
   1.150   3.072   1.150   3.157
   1.200   3.225   1.200   3.319
   1.250   3.386   1.250   3.489
   1.300   3.556   1.300   3.667
   1.350   3.733   1.350   3.855
   1.400   3.920   1.400   4.053
   1.450   4.116   1.450   4.261
   1.500   4.322   1.500   4.479
   1.550   4.538   1.550   4.709
   1.600   4.765   1.600   4.950
   1.650   5.003   1.650   5.204
   1.700   5.253   1.700   5.470
   1.750   5.516   1.750   5.751
   1.800   5.792   1.800   6.045
   1.850   6.081   1.850   6.355
   1.900   6.385   1.900   6.681
   1.950   6.705   1.950   7.023
   2.000   7.040   2.000   7.383
   2.050   7.392   2.050   7.762
   2.100   7.762   2.100   8.159
   2.150   8.150   2.150   8.577
   2.200   8.557   2.200   9.017
   2.250   8.985   2.250   9.479
   2.300   9.434   2.300   9.965
   2.350   9.906   2.350  10.476
   2.400  10.401   2.400  11.013
   2.450  10.921   2.450  11.577
   2.500  11.467   2.500  12.170
   2.550  12.041   2.550  12.794
   2.600  12.643   2.600  13.450
   2.650  13.275   2.650  14.139
   2.700  13.939   2.700  14.864
   2.750  14.636   2.750  15.625
   2.800  15.367   2.800  16.426
   2.850  16.136   2.850  17.268
   2.900  16.943   2.900  18.153
   2.950  17.790   2.950  19.083
   3.000  18.679   3.000  20.061
   3.050  19.613   3.050  21.090
   3.100  20.594   3.100  22.170
   3.150  21.623   3.150  23.307
   3.200  22.705   3.200  24.501
   3.250  23.840   3.250  25.757
   3.300  25.032   3.300  27.077
   3.350  26.283   3.350  28.464
   3.400  27.598   3.400  29.923
   3.450  28.978   3.450  31.457
   3.500  30.426   3.500  33.069
   3.550  31.948   3.550  34.764
   3.600  33.545   3.600  36.545
   3.650  35.222   3.650  38.418
   3.700  36.984   3.700  40.387
   3.750  38.833   3.750  42.457
   3.800  40.774   3.800  44.633
   3.850  42.813   3.850  46.921
   3.900  44.954   3.900  49.325
   3.950  47.201   3.950  51.853
   4.000  49.561   4.000  54.511
   4.050  52.040   4.050  57.304
   4.100  54.641   4.100  60.241
   4.150  57.374   4.150  63.328
   4.200  60.242   4.200  66.574
   4.250  63.254   4.250  69.986
   4.300  66.417   4.300  73.573
   4.350  69.738   4.350  77.343
   4.400  73.225   4.400  81.307
   4.450  76.886   4.450  85.474
   4.500  80.730   4.500  89.855
   4.550  84.767   4.550  94.460
   4.600  89.005   4.600  99.301
   4.650  93.455   4.650 104.390
   4.700  98.128   4.700 109.740
   4.750 103.035   4.750 115.364
   4.800 108.186   4.800 121.277
   4.850 113.596   4.850 127.492
   4.900 119.276   4.900 134.026
   4.950 125.239   4.950 140.895
