   0.000   1.000   0.600
   0.100   0.974   0.662
   0.200   0.937   0.725
   0.300   0.890   0.788
   0.400   0.835   0.848
   0.500   0.774   0.902
   0.600   0.711   0.947
   0.700   0.648   0.981
   0.800   0.586   1.005
   0.900   0.529   1.016
   1.000   0.477   1.016
   1.100   0.431   1.007
   1.200   0.390   0.989
   1.300   0.354   0.963
   1.400   0.324   0.933
   1.500   0.298   0.898
   1.600   0.276   0.860
   1.700   0.258   0.821
   1.800   0.243   0.781
   1.900   0.231   0.741
   2.000   0.221   0.701
   2.100   0.213   0.662
   2.200   0.207   0.625
   2.300   0.203   0.589
   2.400   0.200   0.555
   2.500   0.198   0.523
   2.600   0.198   0.492
   2.700   0.199   0.463
   2.800   0.201   0.436
   2.900   0.204   0.411
   3.000   0.208   0.388
   3.100   0.213   0.366
   3.200   0.220   0.346
   3.300   0.227   0.327
   3.400   0.235   0.310
   3.500   0.245   0.294
   3.600   0.256   0.280
   3.700   0.267   0.267
   3.800   0.281   0.255
   3.900   0.295   0.244
   4.000   0.311   0.235
   4.100   0.328   0.227
   4.200   0.347   0.219
   4.300   0.367   0.213
   4.400   0.389   0.208
   4.500   0.412   0.204
   4.600   0.438   0.201
   4.700   0.465   0.199
   4.800   0.494   0.198
   4.900   0.524   0.198
   5.000   0.557   0.200
   5.100   0.591   0.203
   5.200   0.627   0.207
   5.300   0.664   0.213
   5.400   0.703   0.221
   5.500   0.743   0.232
   5.600   0.783   0.244
   5.700   0.823   0.259
   5.800   0.862   0.278
   5.900   0.900   0.299
   6.000   0.934   0.325
   6.100   0.965   0.356
   6.200   0.990   0.392
   6.300   1.007   0.433
   6.400   1.017   0.480
   6.500   1.016   0.532
   6.600   1.004   0.589
   6.700   0.980   0.650
   6.800   0.945   0.714
   6.900   0.900   0.777
   7.000   0.846   0.838
   7.100   0.786   0.893
   7.200   0.723   0.940
   7.300   0.659   0.976
   7.400   0.597   1.001
   7.500   0.539   1.015
   7.600   0.486   1.017
   7.700   0.439   1.009
   7.800   0.397   0.993
   7.900   0.360   0.969
   8.000   0.329   0.939
   8.100   0.302   0.904
   8.200   0.280   0.867
   8.300   0.261   0.828
   8.400   0.246   0.788
   8.500   0.233   0.748
   8.600   0.222   0.708
   8.700   0.214   0.669
   8.800   0.208   0.632
   8.900   0.203   0.596
   9.000   0.200   0.561
   9.100   0.198   0.528
   9.200   0.198   0.497
   9.300   0.199   0.468
   9.400   0.200   0.441
   9.500   0.203   0.415
   9.600   0.207   0.392
   9.700   0.212   0.370
   9.800   0.218   0.349
   9.900   0.226   0.330
